period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1996-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,10300897,79711989,10300897,79711989,,,https://dataweb.usitc.gov/,False
1996-06,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,704325884,1582139769,704325884,1582139769,,,https://dataweb.usitc.gov/,False
1996-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,250372667,1674662834,250372667,1674662834,,,https://dataweb.usitc.gov/,False
1996-07,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,9249302,88961291,9249302,88961291,,,https://dataweb.usitc.gov/,False
1996-07,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,603491860,2185631629,603491860,2185631629,,,https://dataweb.usitc.gov/,False
1996-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,191535998,1866198832,191535998,1866198832,,,https://dataweb.usitc.gov/,False
1996-08,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,16200897,105162188,16200897,105162188,,,https://dataweb.usitc.gov/,False
1996-08,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,330373201,2516004830,330373201,2516004830,,,https://dataweb.usitc.gov/,False
1996-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,234351007,2100549839,234351007,2100549839,,,https://dataweb.usitc.gov/,False
1996-09,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,13260412,118422600,13260412,118422600,,,https://dataweb.usitc.gov/,False
1996-09,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,342465480,2858470310,342465480,2858470310,,,https://dataweb.usitc.gov/,False
1996-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,224560609,2325110448,224560609,2325110448,,,https://dataweb.usitc.gov/,False
1996-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,19606881,138029481,19606881,138029481,,,https://dataweb.usitc.gov/,False
1996-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,450093601,3308563911,450093601,3308563911,,,https://dataweb.usitc.gov/,False
1996-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,207967121,2533077569,207967121,2533077569,,,https://dataweb.usitc.gov/,False
1996-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,9337491,147366972,9337491,147366972,,,https://dataweb.usitc.gov/,False
1996-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,93453216,3402017127,93453216,3402017127,,,https://dataweb.usitc.gov/,False
1996-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,313629238,2846706807,313629238,2846706807,,,https://dataweb.usitc.gov/,False
1996-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,21689805,169056777,21689805,169056777,,,https://dataweb.usitc.gov/,False
1996-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,132045247,3534062374,132045247,3534062374,,,https://dataweb.usitc.gov/,False
1997-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,238979334,238979334,238979334,238979334,,,https://dataweb.usitc.gov/,False
1997-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,13123784,13123784,13123784,13123784,,,https://dataweb.usitc.gov/,False
1997-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,130825251,130825251,130825251,130825251,,,https://dataweb.usitc.gov/,False
1997-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,167999985,406979319,167999985,406979319,,,https://dataweb.usitc.gov/,False
1997-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,19257138,32380922,19257138,32380922,,,https://dataweb.usitc.gov/,False
